Time,Instrument,Gain
00:27.208,instruments/hide_3-25_soft.wav,0.2
00:27.992,instruments/hide_3-25b_soft.wav,0.2
00:27.998,instruments/hide_3-29b_soft.wav,0.2
00:28.9,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:28.791,instruments/hide_3-24_soft.wav,0.2
00:28.799,instruments/hide_3-28_soft.wav,0.2
00:28.808,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:29.592,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:29.597,instruments/hide_3-24b_soft.wav,0.2
00:29.604,instruments/hide_3-28b_soft.wav,0.2
00:30.394,instruments/hide_3-29_soft.wav,0.2
00:30.398,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:30.403,instruments/hide_3-25_soft.wav,0.2
00:31.193,instruments/hide_3-25b_soft.wav,0.2
00:31.200,instruments/hide_3-29b_soft.wav,0.2
00:31.204,instruments/double-bass_E1_05_piano_arco-normal.wav,0.2
00:31.994,instruments/hide_3-24_soft.wav,0.2
00:32.0,instruments/hide_3-28_soft.wav,0.2
00:32.5,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:32.795,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:32.800,instruments/hide_3-24b_soft.wav,0.2
00:32.805,instruments/hide_3-28b_soft.wav,0.2
00:33.595,instruments/hide_3-29_soft.wav,0.2
00:33.600,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:33.606,instruments/hide_3-25_soft.wav,0.2
00:34.396,instruments/hide_3-25b_soft.wav,0.2
00:34.401,instruments/hide_3-29b_soft.wav,0.2
00:34.407,instruments/double-bass_Fs1_05_mezzo-piano_arco-normal.wav,0.2
00:35.196,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
00:35.197,instruments/hide_3-24_soft.wav,0.2
00:35.202,instruments/hide_3-28_soft.wav,0.2
00:35.204,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
00:35.602,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
00:35.606,instruments/hide_3-30.wav,0.30000000000000004
00:35.994,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
00:36.2,instruments/hide_3-24b_soft.wav,0.2
00:36.8,instruments/hide_3-28b_soft.wav,0.2
00:36.9,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
00:36.393,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
00:36.396,instruments/hide_3-30b.wav,0.30000000000000004
00:36.792,instruments/hide_3-29_soft.wav,0.2
00:36.799,instruments/double-bass_Fs2_025_forte_arco-normal.wav,0.26
00:36.800,instruments/double-bass_Fs2_05_piano_arco-normal.wav,0.2
00:36.809,instruments/hide_3-25_soft.wav,0.2
00:37.201,instruments/hide_3-32.wav,0.30000000000000004
