Time,Amplitude,Frequency,Synchrony,Duration
00:00.0,0.0,0.27137413669921406,0.5268222238668612,3200
00:03.200,0.04415123432573114,0.1408668730650155,0.36979006351062416,3200
00:06.400,0.052986254011467,0.12026673017385094,0.45172231222040704,3200
00:09.600,0.13773725484705668,0.0517980471540843,0.36938988584814414,3200
00:12.800,0.05576853844603198,0.12860204810669207,0.4371174096312809,3200
00:16.0,0.1902634516335491,0.008216241962371994,0.36379345885028935,3200
00:19.200,0.1149238830264399,0.06072874493927125,0.41117773531776447,3200
00:22.400,0.06495982756537556,0.09109311740890688,0.45716064651783095,3200
00:25.600,0.05279415357899992,0.12872112407716124,0.4036144402469356,3200
00:28.800,0.11651073096443225,0.05537032626815908,0.47896571416669786,3200
00:32.0,0.08880962904900569,0.105382233865206,0.39179516657070934,3200
00:35.200,0.2587652947351349,0.4197427959037866,0.7174846846840388,3200
00:38.400,0.11067204260151349,0.3147177899499881,0.5235559274668342,3200
00:41.600,0.038954817362265574,0.2283877113598476,0.4812225448555051,3200
00:44.800,0.2842539326689327,0.10895451297928077,0.38154774555801974,3200
00:48.0,0.19954086325430523,0.24303405572755418,0.0,3200
00:51.200,0.0698399180964744,0.5888306739699929,0.30462048831212296,3200
00:54.400,0.13153813131734904,0.4864253393665158,0.19272059393022878,3200
00:57.600,0.18274494635424895,0.3983091212193379,0.2047033787976701,3200
01:00.800,0.11940637610422554,0.34555846630150033,0.41981375137002275,3200
01:04.0,0.11692270395629747,0.3846153846153845,0.47795811549988376,3200
01:07.200,0.21943209103253708,0.2826863538937842,0.46076850157007065,3200
01:10.400,0.2102178745253392,0.44665396522981665,0.6197598843089711,3200
01:13.600,0.3110596921400742,0.6078828292450584,0.511708360527415,3200
01:16.800,0.4526698904806845,0.7718504405810908,0.6272982543605968,3200
01:20.0,0.49999558851129566,0.794474874970231,0.6629390443191292,3200
01:23.200,0.6206806500634083,0.760895451297928,0.37376591438433404,3200
01:26.400,0.6329187545190396,0.7624434389140272,0.5490100503324278,3200
01:29.600,0.6957449106153732,0.710764467730412,0.8884894020024592,3200
01:32.800,0.8303561195063159,0.6412241009764229,0.6708933194026432,3200
01:36.0,0.9053155303110771,0.5738271016908788,0.675536072148313,3200
01:39.200,1.0,0.4067635151226482,0.6537354316950286,3200
01:42.400,0.909134170511739,0.51417004048583,0.6580191494311651,3200
01:45.600,0.9619322880637114,0.39390331031197895,0.908439126832745,3200
01:48.800,0.856752707192181,0.546320552512503,0.8264572392560436,3200
01:52.0,0.8380779186993552,0.5727554179566564,0.8552612692521107,3200
01:55.200,0.8598431487966507,0.5397713741366992,0.7672529136012094,3200
01:58.400,0.891005606758896,0.4909502262443439,0.8629138280781543,3200
02:01.600,0.8921874810097392,0.42236246725410814,0.8723637483845202,3200
02:04.800,0.9560188577185219,0.39247439866634903,0.7450388251746054,3200
02:08.0,0.9605620591902777,0.3991426530126221,0.7317838343314407,3200
02:11.200,0.9390339028024254,0.44177185044058104,0.7461639925332328,3200
02:14.400,0.9323002260816872,0.3630626339604668,0.8144138420323106,3200
02:17.600,0.9116961177601717,0.43367468444867824,0.7934231966499805,3200
02:20.800,0.9099370675673055,0.35246487258871156,0.6327263109397081,3200
02:24.0,0.9032300834392167,0.3959276018099548,0.5790666280988848,3200
02:27.200,0.8837366575539597,0.2843534174803525,0.5224985050309483,3200
02:30.400,0.7871854646060608,0.25160752560133365,0.5166472180407263,3200
02:33.600,0.8216770076839194,0.11407477970945464,0.27600601967603366,3200
02:36.800,0.7734125912429552,0.09764229578471065,0.254322106773313,3200
02:40.0,0.8494214239023374,0.09930935937127887,0.15709711202637833,3200
02:43.200,0.7237594762318451,0.14646344367706596,0.2860223336226928,3200
02:46.400,0.7427500781023618,0.19290307216003813,0.1602350166580777,3200
02:49.600,0.6303187370632423,0.3110264348654441,0.24583421342269052,3200
02:52.800,0.6544094722807842,0.26792093355560853,0.22550492809768374,3200
02:56.0,0.6600418722230138,0.3010240533460347,0.17134520708152878,3200
02:59.200,0.7085857179200075,0.2719695165515599,0.041821645039156086,3200
03:02.400,0.55225458416962,0.590378661586092,0.2835167360648878,3200
03:05.600,0.5688890176681823,0.7281495594189092,0.3653385327867662,3200
03:08.800,0.5603802896927725,0.8910454870207192,0.5826715150335418,3200
03:12.0,0.46899725584950297,0.8291259823767563,0.4201716452244528,3200
03:15.200,0.5329912340175226,1.0,0.16377530551421537,3200
03:18.400,0.3578876357955709,0.8217432722076685,0.006723457916221975,3200
03:21.600,0.22236559933448236,0.4349845201238389,0.2726782736195307,3200
03:24.800,0.28093944933855136,0.5715646582519647,0.18831592344931236,3200
03:28.0,0.38669801677160043,0.4795189330793046,0.2619131225195017,3200
03:31.200,0.31213152103408714,0.5618004286734938,0.7358252581579593,3200
03:34.400,0.3355783612396267,0.5759704691593237,0.6203933673178106,3200
03:37.600,0.3003387570014948,0.2719695165515599,0.46318149073473935,3200
03:40.800,0.18654022947727728,0.41105025005953794,0.2951022113002878,3200
03:44.0,0.16664297795415958,0.6433674684448678,0.3261825818487385,3200
03:47.200,0.2732226756993391,0.5258394855918076,0.13012890638696573,3200
03:50.400,0.42352322468695347,0.5176232436294356,0.4701197605039312,3200
03:53.600,0.23305189141216434,0.32221957608954516,0.48262419622769004,3200
03:56.800,0.15799706840119665,0.3362705406049059,0.21492025474014775,3200
04:00.0,0.1481046388506309,0.3050726363419862,0.24756235274899352,3200
04:03.200,0.14165041333171557,0.5239342700643009,0.6018817217743866,3200
04:06.400,0.20402079720041835,0.11133603238866399,0.26738772424313484,3200
04:09.600,0.22997678524043888,0.3691355084543939,0.48271198252545877,3200
04:12.800,0.21784643765480205,0.30019052155275067,0.327985649890718,3200
04:16.0,0.17689612927855522,0.41998094784472484,0.5503205098855426,3200
04:19.200,0.18612128910321082,0.0,1.0,796
